1 1001  1 1.74231 1.25032 0.77036 0 0 0 0 -0.0785573 3.0698 0.553804 5.2462 1.86346  0.128303 14026895 -1250265497 712780
1 1001  1 2.0767 1.40105 0.285247 0 0 0 0 -0.0685628 2.51104 0.554241 5.20735 1.86596  -0.256497 14026895 -1249780982 712780
1 1001  0 1.68345 1.1653 0.914245 0 0 0 0 0.0283214 3.41944 0.554253 5.26457 1.85478  0.241711 14026895 -1249767887 712780
1 1001  1 1.06954 2.45725 0.236206 0 0 0 0 -0.0130821 2.61881 0.553804 5.23432 1.8604  0.635242 14026895 -1249429163 712780
1 1001  0 2.07554 0.878638 0.808822 0 0 0 0 -0.0691143 3.41238 0.553804 5.28476 1.86254  0.167928 14026895 -1249391624 712780
1 1001  1 2.01001 1.13496 0.618022 0 0 0 0 -0.0500284 2.15086 0.553804 5.27445 1.86303  -0.537097 14026895 -1249309562 712780
1 1001  0 2.17926 0.597605 0.986132 0 0 0 0 -0.0350123 1.85869 0.554239 5.2813 1.85295  -0.0080278 14026895 -1249101788 712780
1 1001  0 1.46466 0.694359 1.60398 0 0 0 0 0.0362951 3.43636 0.554239 5.25501 1.87188  0.0589436 14026895 -1249086074 712780
1 1001  0 0.735148 2.75361 0.27424 0 0 0 0 -0.00835018 1.6713 0.554253 5.2798 1.8665  0.258111 14026895 -1248986552 712780
1 1001  0 2.07038 1.25959 0.433024 0 0 0 0 0.0315557 2.58664 0.553804 5.27692 1.85271  0.513985 14026895 -1248906236 712780
1 1001  1 2.51425 1.08433 0.16442 0 0 0 0 0.0134308 2.62434 0.553804 5.28048 1.8745  -0.321578 14026895 -1248877427 712780
1 1001  1 2.02434 1.59799 0.140672 0 0 0 0 0.0565792 3.65212 0.553804 5.26885 1.87238  0.333511 14026895 -1248701954 712780
1 1001  0 1.22749 1.98932 0.546186 0 0 0 0 -0.0247673 3.131 0.553804 5.2787 1.86409  0.18337 14026895 -1248536084 712780
1 1001  1 2.64421 0.747688 0.371098 0 0 0 0 0.0780084 3.16681 0.553765 5.27129 1.87414  -0.0289679 14026895 -1248414737 712780
1 1001  0 0.483662 2.53021 0.749124 0 0 0 0 0.0386995 3.04708 0.554253 5.28538 1.86142  -0.139356 14026895 -1248281168 712780
1 1001  0 1.8317 0.974398 0.9569 0 0 0 0 0.000624215 2.00091 0.554253 5.25396 1.85498  -0.171362 14026895 -1248234026 712780
1 1001  1 1.32257 2.27981 0.160618 0 0 0 0 0.0552633 3.66909 0.553804 5.28058 1.87182  0.454523 14026895 -1247951174 712780
1 1001  0 2.19573 0.769331 0.797939 0 0 0 0 -0.0831358 2.74975 0.553804 5.27016 1.8614  -0.00665907 14026895 -1247800145 712780
1 1001  1 1.60202 1.82593 0.335049 0 0 0 0 0.0531508 2.22172 0.553765 5.2816 1.87408  0.696779 14026895 -1247632529 712780
1 1001  1 2.4646 0.728268 0.570132 0 0 0 0 -0.0918868 1.58113 0.554255 5.27345 1.86971  0.360286 14026895 -1247485865 712780
1 1001  1 1.31717 1.18685 1.25897 0 0 0 0 0.0917528 2.12304 0.553804 5.20567 1.86724  0.285178 14026895 -1247444834 712780
1 1001  0 0.548801 2.33886 0.875338 0 0 0 0 0.00679554 2.47918 0.553804 5.28397 1.8639  0.415036 14026895 -1247275472 712780
1 1001  1 1.33636 2.26375 0.162891 0 0 0 0 -0.0815087 1.91824 0.553765 5.2749 1.87247  0.230669 14026895 -1246935002 712780
1 1001  0 0.514364 1.93668 1.31195 0 0 0 0 -0.0768393 3.36826 0.554255 5.21788 1.86074  0.0176651 14026895 -1246725482 712780
