1 1001  1 2.39921 0.575001 0.788788 0 0 0 0 -0.0535971 2.48813 0.555521 5.27486 1.86991  0.478066 14026893 -1686181460 712780
1 1001  0 2.82535 0.466138 0.471511 0 0 0 0 -0.0229425 3.40907 0.555521 5.27976 1.85823  0.221125 14026893 -1686164000 712780
1 1001  1 0.713346 2.13334 0.916305 0 0 0 0 0.112349 2.50333 0.555521 5.28218 1.86966  -0.412096 14026893 -1685400998 712780
1 1001  0 1.73672 0.605193 1.42108 0 0 0 0 0.0507994 2.46436 0.555521 5.28679 1.85743  0.511556 14026893 -1685318063 712780
1 1001  1 1.23552 2.04094 0.486537 0 0 0 0 -0.00583494 2.62428 0.555521 5.28466 1.87014  -0.0572951 14026893 -1685124257 712780
1 1001  0 1.03868 2.03213 0.692181 0 0 0 0 0.0533658 2.13262 0.555521 5.2783 1.85846  -0.0778521 14026893 -1685077115 712780
1 1001  1 2.17924 0.853845 0.729906 0 0 0 0 0.0601667 2.92072 0.555521 5.28176 1.86291  0.475869 14026893 -1685064893 712780
1 1001  0 0.641296 2.58689 0.534814 0 0 0 0 -0.0799512 3.45667 0.555521 5.27453 1.85579  -0.211127 14026893 -1684708709 712780
1 1001  1 2.35425 0.583463 0.825279 0 0 0 0 -0.0268563 2.27768 0.555521 5.27978 1.85896  0.786429 14026893 -1684053959 712780
1 1001  1 1.837 1.59512 0.330879 0 0 0 0 -0.0707882 2.17352 0.555521 5.2798 1.85575  0.608623 14026893 -1683881978 712780
1 1001  0 2.53842 0.628099 0.596472 0 0 0 0 -0.0160274 2.06118 0.555521 5.27415 1.85476  0.507726 14026893 -1683771107 712780
1 1001  1 2.55867 0.507926 0.696404 0 0 0 0 0.0904047 2.63883 0.555521 5.27632 1.86744  0.712859 14026893 -1683624443 712780
1 1001  1 1.55885 1.89333 0.310822 0 0 0 0 -0.0125081 3.28585 0.555521 5.27592 1.86456  0.020636 14026893 -1683499604 712780
1 1001  1 1.67682 0.675563 1.41061 0 0 0 0 -0.0558529 2.08539 0.553765 5.23278 1.87318  0.215925 14026896 -1032199700 712780
1 1001  0 0.51788 2.84854 0.396575 0 0 0 0 0.0293027 2.28298 0.553765 5.2765 1.85997  0.968791 14026896 -1032094067 712780
1 1001  1 1.64403 1.32985 0.789116 0 0 0 0 0.0903505 1.69943 0.55376 5.27137 1.86434  0.312454 14026896 -1031716058 712780
1 1001  1 2.79949 0.622089 0.341416 0 0 0 0 -0.0506627 2.9459 0.553694 5.24035 1.86169  0.865237 14026896 -1031682011 712780
